0] grassS
1] roca00
2] rocaGrande00
3] rocaGrande01
4] pilarPiedra-0-0
5] pilarPiedra-0-1
6] pilarPiedra-1-0
7] pilarPiedra-1-1
8] tronco-0-1
9] tronco-0-2
10] tronco-0-3
11] tronco-0-4
12] tronco-0-5
13] tronco-0-6
14] tronco-1-0
15] tronco-1-1
16] tronco-1-2
17] tronco-1-3
18] tronco-1-4
19] tronco-1-5
20] tronco-1-6
21] tronco-2-0
22] tronco-2-1
23] tronco-2-2
24] tronco-2-3
25] tronco-2-4
26] tronco-2-5
27] tronco-2-6
28] tronco-3-0
29] tronco-3-1
30] tronco-3-2
31] tronco-3-3
32] tronco-3-4
33] tronco-3-5
34] tronco-3-6
35] tronco-4-0
36] tronco-4-1
37] tronco-4-2
38] tronco-4-3
39] tronco-4-4
40] tronco-4-5
41] tronco-4-6
42] tronco-5-1
43] tronco-5-2
44] tronco-5-3
45] tronco-5-4
46] tronco-5-5
47] tronco-5-6
48] ecCueva-0-0
49] ecCueva-0-1
50] ecCueva-0-2
51] ecCueva-1-0
52] ecCueva-1-1
53] ecCueva-1-2
100] arbolS-2-3
101] arbolS-1-3
102] arbolS-0-3
103] arbolS-2-2
104] arbolS-1-2
105] arbolS-0-2
106] arbolS-2-1
107] arbolS-1-1
108] arbolS-0-1
109] arbolS-1-0
