0] arena
1] grass00
2] grass00
3] grass00
4] grass00
5] grass00
6] grass00
7] grass00
8] grass00
9] grass00
10] water00
11] arena-agua1-0-0
12] arena-agua1-0-1
13] arena-agua1-0-2
14] arena-agua1-1-0
15] arena-agua1-1-2
16] arena-agua1-2-0
17] arena-agua1-2-1
18] arena-agua1-2-2
19] arena-agua2-0-0
20] arena-agua2-0-1
21] arena-agua2-1-0
22] arena-agua2-1-1
23] pastoAlto00
24] pastoAlto01
25] pastoAlto02
26] pastoAlto03
27] pastoAlto04
28] pastoAlto05
29] pastoAlto06
30] pastoAlto07
31] pastoAlto08
32] pastoAlto09
33] pastoAlto10
34] pastoAlto11
35] pastoAlto12
36] planta00
37] planta01
38] planta02
39] roca00
40] rocaGrande00
41] rocaGrande01
42] camino00
43] camino01
44] camino02
45] camino03
46] camino04
47] camino05
48] camino06
49] camino07
50] camino08
51] camino09
52] camino10
53] camino11
54] camino12
55] farola0
56] farola1
57] farola2
58] barril0
59] barril1
60] fuente0
61] fuente1
62] fuente2
63] fuente3
64] pilar0
65] pilar1
66] placa0
67] placa1
100] grass-water00
101] grass-water01
102] grass-water02
103] grass-water03
104] grass-water04
105] grass-water05
106] grass-water06
107] grass-water07
108] grass-water08
109] grass-water09
110] grass-water10
111] grass-water11
122] casa-2-7
123] casa-1-7
124] casa-0-7
125] casa-2-6
126] casa-1-6
127] casa-0-6
128] casa-2-5
129] casa-1-5
130] casa-0-5
131] casa-2-4
132] casa-1-4
133] casa-0-4
134] casa-2-3
135] casa-1-3
136] casa-0-3
137] casa-2-2
138] casa-1-2
139] casa-0-2
140] casa-2-1
141] casa-1-1
142] casa-0-1
143] casa-2-0
144] casa-1-0
145] casa-0-0
146] puerta-2-1
147] puerta-1-1
148] puerta-0-1
149] puerta-2-0
150] puerta-1-0
151] puerta-0-0
152] puertaC-1-0
153] puertaC-1-1
154] ventana
155] pisoPiedra
156] pared-castillo
157] techo-0-0
158] techo-0-1
159] techo-0-2
160] techo-1-0
161] techo-pared0
162] techo-pared1
163] techo-2-0
164] techo-2-1
165] techo-2-2
166] puertaAbierta-0-0
167] puertaAbierta-0-1
168] puertaAbierta-0-2
169] puertaAbierta-1-0
170] puertaAbierta-1-1
171] puertaAbierta-1-2
172] puertaAbierta-2-0
173] puertaAbierta-2-1
174] puertaAbierta-2-2
175] puertaCerrada-0-0
176] puertaCerrada-0-1
177] puertaCerrada-0-2
178] puertaCerrada-1-0
179] puertaCerrada-1-1
180] puertaCerrada-1-2
181] puertaCerrada-2-0
182] puertaCerrada-2-1
183] puertaCerrada-2-2
186] sombra-0-0
187] sombra-0-1
188] sombra-0-2
189] sombra-1-0
190] sombra-1-1
191] sombra-1-2
192] sombra-2-0
193] sombra-2-1
194] sombra-2-2
195] placa_armeria0
196] placa_armeria1
197] placa_imperio0
198] placa_imperio1
199] placa_taberna0
200] placa_taberna1
201] banco0
202] banco1
203] banco2
204] banco3
205] mont-00-01
206] mont-00-02
207] mont-00-03
208] mont-00-04
209] mont-00-05
210] mont-00-06
211] mont-00-00
212] mont-00-01
213] mont-00-02
214] mont-00-03
215] mont-00-04
216] mont-00-05
217] mont-00-06
218] mont-02-00
219] mont-02-01
220] mont-02-02
221] mont-02-03
222] mont-02-04
223] mont-02-05
224] mont-02-06
225] mont-03-00
226] mont-03-01
227] mont-03-02
228] mont-03-03
229] mont-03-04
230] mont-03-05
231] mont-03-06
232] mont-04-00
233] mont-04-01
234] mont-04-02
235] mont-04-03
236] mont-04-04
237] mont-04-05
238] mont-04-06
239] mont-05-01
240] mont-05-02
241] mont-05-03
242] mont-05-04
243] mont-05-05
244] mont-05-06
245] mont-06-01
246] mont-06-02
247] mont-06-03
248] mont-06-04
249] mont-06-05
250] mont-06-06
251] mont-07-00
252] mont-07-01
253] mont-07-02
254] mont-07-03
255] mont-07-04
256] mont-07-05
257] mont-07-06
258] mont-08-00
259] mont-08-01
260] mont-08-02
261] mont-08-03
262] mont-08-04
263] mont-08-05
264] mont-08-06
265] mont-09-00
266] mont-09-01
267] mont-09-02
268] mont-09-03
269] mont-09-04
270] mont-09-05
271] mont-09-06
